组别,日语,汉语,注释
19,汽車は飛ぶように走っている。,火车像飞一样地奔驰。,汽車：きしゃ：火车，飛ぶ：とぶ，走る：はしる：奔跑
19,公園へ行けない。,不许去公园玩。,公園：こうえん
19,刺身はまずそうだ。,生鱼片似乎不好吃。,刺身：さしみ，まずい：不味い：不好吃
19,どうですが。雪が降りそうだろう。,怎么样？像要下雪了吧。,雪：ゆき，降る：ふる
19,この道は熊が出るようだ。,这一带好像有熊出没。,熊：くま，出る：でる
19,彼女は嬉しそうだ。,她显得很愉快。,彼女：かのじょ，嬉しい：うれしい
20~1,秋山さんはまだ帰らないそうだ。,据说秋山还没有回来。,秋山：あきやま，まだ：还，帰る：かえる，そうだ：据说
20~1,これは珍しいそうだ。,据说这个东西很珍稀。,珍しい：めずらしい
20~1,小包はもう届いだそうで，安心した。,听说邮包已经送到，我放心了。,小包：こづつみ，もう：已经，届ける：とどける：送到，安心：あんしん
20~1,山田さんもタバコをやあるそうだ。,听说山田也要戒烟了。,山田：やまだ，たばこをやある：戒烟
20~1,彼はキリスト教に参加したならないそうだ。,听说他不想参加基督教。,キリスト教：基督教，参加：さんか
20~1,日本では一人で二つ以上の宗教を持つことができるそうだ。,据说在日本一个人可以信奉两种以上的宗教。,以上：いじょう，宗教：しゅうきょう，できる：可以
20~1,仏教は中国から朝鮮経て，日本に伝えられたそうだ。,据说佛教是从中国经朝鲜传来的。,仏教：ぶっきょう，朝鮮：ちょうせん，経る：へる，伝える：つたえる
20~1,神前で結婚する人が多いそうだ。,据说在神像前面举行婚礼的人很多。,神前：しんぜん，結婚：けっこん
20~2,これは本当らしい。,这个好像是真的。,本当：ほんとう
20~2,あれはにせものらしい。,那个好像是假货。,にせもの：にせもの：假货
20~2,この鉛筆は秋山さんのものらしい。,这支铅笔好像是秋山的。,鉛筆：えんぴつ，秋山：あきやま，
20~2,明日天気らしい。,明天天气好像不错。,明日：あした，天気：てんき：天气好
20~2,どなりの部屋にいる人は子供らしい。,在隔壁屋里的好像是个孩子。,どなり：隣，部屋：へや，いる：入る、居る
20~2,夏休みは７月２０日から始まるらしい。,暑假好像是从7月20日开始。,夏休み：なつやすみ：暑假，七月：しちがつ，２０日：にじゅうにち
20~2,あの人は男らしい男だ。,那个人是真正的男子汉。,男：おとこ
20~2,ここには公園らしい公園はない。,这里没有像样的公园。,公園：こうえん
21,何も見えないだろう。,什么也看不见吧。,
21,太郎も背が高くても，まだ子供です。,太郎个子虽然大，但还是个孩子。,太郎：たろう，背：せい：身高，高い：たかい，まだ：还，…ても：虽然…
21,出掛けようとすると，友達が来た。,我刚要出门，朋友来了。,出掛け：でがけ，…よう：推量式、第一人称表意志，友達：ともだち，
21,資金を調達すろために，株券を発行しなければならない。,为了筹措资金，必须发行股票。,資金：しきん，調達：ちょうたつ：筹措，株券：かぶけん，発行：はっこう
21,彼女の協力がなくても，私は株券を買うつもりです。,即使她不合作，我还是打算买股票。,彼女：かのじょ，協力：きょうりょく，買う：かう，つもり：计划、意图
24,人生の目的はお金だけでないです。,人生的目的不只是金钱。,人生：じんせい，目的：もくてき，お金：おかね
24,学校の規則を守るべきです。,必须遵守学校的规则。,学校：がっこう，規則：きそく，守る：まもる，べき：必须
24,かりたものはかえすべきです。,借人的东西要还。,借りる：かりる，返す：かえす
24,あんな事は小学生でもさえ分かります。,那样的事，即使小学生也懂得。,事：こと，小学生：しょうがくせい，分かる：わかる
24,彼は名前さえ書けません。,他甚至连名字也不会写。,名前：なまえ：名字，書く：かく
24,空気が悪いために，頭が痛いです。,因为空气混浊，所以脑袋痛。,空気：くうき，悪い：わるい，頭：あたま，痛い：いたい
